PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
CAPACITOR_LST	C10I	CAP1005L	2	Bottom	90	1495.98	8380.987	Yes	No
CAPACITOR_LST	C10J	CAP1005L	2	Bottom	90	1495.98	9380.987	Yes	No
CAPACITOR_LST	C10K	CAP1005L	2	Bottom	90	1495.98	10380.987	Yes	No
CAPACITOR_LST	C10L	CAP1005L	2	Bottom	90	1495.98	11380.987	Yes	No
CAPACITOR_LST	C10M	CAP1005L	2	Bottom	270	10504.02	11869.013	Yes	No
CAPACITOR_LST	C10N	CAP1005L	2	Bottom	270	10504.02	10869.013	Yes	No
CAPACITOR_LST	C10O	CAP1005L	2	Bottom	270	10504.02	9869.013	Yes	No
CAPACITOR_LST	C10P	CAP1005L	2	Bottom	270	10504.02	8869.013	Yes	No
CAPACITOR_LST	C10Q	CAP1005L	2	Bottom	270	10504.02	7869.013	Yes	No
CAPACITOR_LST	C10R	CAP1005L	2	Bottom	270	10504.02	6869.013	Yes	No
CAPACITOR_LST	C10S	CAP1005L	2	Bottom	270	10504.02	5869.013	Yes	No
CAPACITOR_LST	C10T	CAP1005L	2	Bottom	270	10504.02	4869.013	Yes	No
CAPACITOR_LST	C10U	CAP1005L	2	Bottom	270	10504.02	3869.013	Yes	No
CAPACITOR_LST	C10V	CAP1005L	2	Bottom	270	10504.02	2869.013	Yes	No
CAPACITOR_LST	C10W	CAP1005L	2	Bottom	270	10504.02	1869.013	Yes	No
CAPACITOR_LST	C10X	CAP1005L	2	Bottom	270	10504.02	869.013	Yes	No
CAPACITOR_LST	C11	CAP1005L	2	Top	0	2042.066	1601.934	Yes	No
CAPACITOR_LST	C11A	CAP1005L	2	Bottom	270	1540.98	380.987	Yes	No
